Title,"IC50, mmg/ml","CC50-MDCK, mmg/ml",SI,Molecular weight,Hydrogen bond acceptors,Hydrogen bond donors,Polar SA,SMILES,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm
1007-Ya-213,2.7,500.0,185.18518518518516,195.307,2,1,32.59,OCC\N=C(\[C@]12C)C[C@@H](C1(C)C)CC2,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,195.304,1.344,444.768,367.822,62.822,14.124,0.0,758.014,1.0,2.7,0.0023823,0.0060706,0.9039613,17.896,6.202,7.625,3.231,2.477,-1.809,-2.101,-3.153,2512.823,-0.552,1339.299,-1.667,9.624,-0.895,2.0,-0.25,3.0,100.0,0.0,0.0,35.245,2.0,0.0,0.0,0.0,0.0,0.0,14.0
1008-Ya-187,9.9,144.0,14.545454545454545,250.431,1,0,15.6,CCN(CC)CC\N=C(\[C@@]12C)C[C@H](C1(C)C)CC2,2.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,250.426,2.134,561.439,537.273,10.227,13.939,0.0,980.412,0.0,3.0,0.004644,0.0,0.8500966,25.51,7.486,8.602,1.542,3.649,-2.113,-1.952,-4.75,1976.136,0.144,1142.807,-2.569,9.299,-0.921,2.0,0.152,3.0,100.0,0.0,0.0,17.981,2.0,0.0,0.0,0.0,0.0,0.0,18.0
1009-As-106,8.3,500.0,60.24096385542168,222.377,1,0,15.6,CN(C)CC\N=C(\[C@@]12C)C[C@H](C1(C)C)CC2,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,222.373,2.219,505.938,477.055,14.944,13.939,0.0,880.751,0.0,3.0,0.0055899,0.0,0.8782871,22.806,6.675,7.819,1.882,2.966,-1.386,-1.356,-4.294,1782.731,0.23,1022.407,-2.848,9.343,-0.909,2.0,-0.052,3.0,100.0,0.0,0.0,18.821,2.0,0.0,0.0,0.0,0.0,0.0,16.0
1010-Ya-208,39.4,143.0,3.6294416243654823,239.361,2,0,29.54,CN(C)CC(=O)O[C@H]1C[C@H](CC2)C(C)(C)[C@@]12C,1.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,239.357,5.594,483.747,427.174,45.125,11.448,0.0,858.093,0.0,4.5,0.0364625,0.0,0.9027554,22.517,6.798,9.192,3.715,1.876,-0.343,-1.021,-3.886,922.324,0.05,501.502,-3.509,9.427,-0.68,3.0,-0.477,3.0,90.995,0.0,0.0,36.035,3.0,0.0,0.0,0.0,0.0,0.0,17.0
1013-Ya-179,26.6,500.0,18.796992481203006,570.997,2,0,24.72,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N/CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC/N=C(\[C@@]34C)C[C@H](C3(C)C)CC4,7.0,0.0,0.0,0.0,0.0,30.0,0.0,-2.0,570.987,4.768,992.002,935.945,24.464,31.593,0.0,1979.178,0.0,2.0,0.0114888,0.0,0.7684975,54.091,17.01,17.677,-2.16,11.101,-9.084,-10.271,-5.429,5806.47,-1.521,3311.682,1.021,2.861,0.684,3.0,2.555,1.0,100.0,0.0,0.0,27.009,4.0,2.0,0.0,0.0,0.0,0.0,41.0
1014-Ya-177,160.0,500.0,3.125,570.997,2,0,24.72,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N\CC[N+](CC)(CC)CCCCCC[N+](CC)(CC)CC\N=C(\[C@@]34C)C[C@H]([C@@H]3C)CC4,12.0,0.0,0.0,0.0,0.0,31.0,0.0,-2.0,570.987,38.811,1030.254,973.549,25.649,31.056,0.0,2010.346,0.0,2.0,0.7492758,0.0,0.7477124,54.692,17.569,27.851,-2.284,11.295,-9.647,-10.271,-5.762,5658.106,-1.611,3220.315,1.094,4.055,2.651,3.0,2.603,1.0,100.0,0.0,0.0,27.009,4.0,2.0,0.0,0.0,0.0,0.0,41.0
1016-As-104,5.1,500.0,98.03921568627452,613.079,2,0,24.72,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N\CC[N+](CC)(CC)CCCCCCCC[N+](CC)(CC)CC\N=C(\[C@@]34C)C[C@H](C3(C)C)CC4,12.0,0.0,0.0,0.0,0.0,33.0,0.0,-2.0,613.067,48.697,1112.338,1055.627,25.651,31.061,0.0,2169.703,0.0,2.0,1.0929396,0.0,0.7286656,59.785,19.272,34.216,-2.528,12.335,-10.876,-11.165,-6.071,5657.891,-1.747,3220.183,1.286,4.842,1.111,3.0,2.98,1.0,100.0,0.0,0.0,27.01,4.0,2.0,0.0,0.0,0.0,0.0,44.0
1017-As-107,3.3,500.0,151.51515151515153,627.106,2,0,24.72,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N/CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC/N=C(\[C@@]34C)C[C@H](C3(C)C)CC4,13.0,0.0,0.0,0.0,0.0,34.0,0.0,-2.0,627.094,14.523,1126.088,1069.013,25.65,31.425,0.0,2206.964,0.0,2.0,0.0955667,0.0,0.727986,60.637,19.611,20.82,-2.713,12.579,-10.974,-11.463,-6.083,5657.949,-1.808,3220.218,1.383,3.347,1.946,3.0,3.046,1.0,100.0,0.0,0.0,27.01,4.0,2.0,0.0,0.0,0.0,0.0,45.0
1018-As-105,13.5,73.0,5.407407407407407,641.133,2,0,24.72,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N\CC[N+](CC)(CC)CCCCCCCCCC[N+](CC)(CC)CC\N=C(\[C@@]34C)C[C@H](C3(C)C)CC4,13.0,0.0,0.0,0.0,0.0,35.0,0.0,-2.0,641.121,68.06,1176.848,1120.139,25.65,31.06,0.0,2289.357,0.0,2.0,2.0233326,0.0,0.7138171,63.289,20.613,48.069,-2.814,13.116,-11.773,-11.761,-6.311,5658.035,-1.881,3220.271,1.478,4.965,1.65,3.0,3.243,1.0,100.0,0.0,0.0,27.009,4.0,2.0,0.0,0.0,0.0,0.0,46.0
1019-YA-214,50.0,41.5,0.83,472.674,6,0,77.32,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N/CCOC(=O)CCC(=O)OCC\N=C(\[C@]34C)C[C@@H](C3(C)C)CC4,5.0,0.0,0.0,0.0,0.0,23.0,2.0,-2.0,472.667,9.459,909.561,776.736,104.186,28.639,0.0,1655.267,0.0,6.0,0.0540539,0.0,0.7440099,45.595,14.966,17.781,3.648,6.485,-6.567,-6.328,-5.811,1018.366,-2.077,504.537,-1.131,9.756,-0.734,4.0,0.842,1.0,100.0,0.0,0.0,94.09,6.0,1.0,0.0,0.0,0.0,0.0,34.0
1035-DS-80-1,11.0,9.4,0.8545454545454546,520.59,6,2,93.81,c1ccccc1\C=C\C(=O)c(c(O)c(C)c2OC)c(c2[C@]34C)OC3=Cc5c([C@H]4O)c(C)nn5-c6ccccc6,1.0,0.0,0.0,0.0,0.0,6.0,1.0,-1.0,520.584,7.954,815.051,299.217,85.054,430.78,0.0,1517.218,1.0,5.7,0.0416971,0.0069934,0.7834512,54.826,16.284,23.434,10.945,6.344,-7.999,-9.206,-7.09,1546.426,-0.722,792.487,-0.993,8.565,0.943,5.0,1.362,1.0,95.255,0.0,0.0,80.553,7.0,2.0,32.0,0.0,32.0,4.0,39.0
1036-DS-80-2,33.0,30.0,0.9090909090909091,520.59,6,2,93.81,c1ccccc1\C=C\C(=O)c(c(O)c(C)c2OC)c(c2[C@@]34C)OC3=Cc5c([C@@H]4O)c(C)nn5-c6ccccc6,2.0,0.0,0.0,0.0,0.0,6.0,1.0,-1.0,520.584,2.711,782.38,252.729,99.733,429.917,0.0,1480.822,1.0,5.7,0.0049618,0.0072855,0.8030624,53.362,15.945,22.572,10.96,6.017,-7.409,-9.096,-6.769,1122.36,-0.829,560.45,-1.267,7.193,1.359,7.0,1.269,1.0,90.849,0.0,0.0,79.388,7.0,2.0,31.0,0.0,28.0,2.0,39.0
1037-DS-86-1,33.0,43.9,1.3303030303030303,555.035,6,2,93.81,c1cc(Cl)ccc1\C=C\C(=O)c(c(O)c(C)c2OC)c(c2[C@]34C)OC3=Cc5c([C@H]4O)c(C)nn5-c6ccccc6,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,555.029,7.318,838.62,299.213,85.055,383.038,71.314,1560.65,1.0,5.7,0.0343156,0.0067969,0.7758961,56.109,16.897,24.035,10.702,6.834,-8.736,-9.921,-6.985,1546.411,-0.565,1948.251,-1.162,8.595,1.09,5.0,1.479,1.0,100.0,0.0,0.0,80.553,7.0,2.0,32.0,0.0,32.0,4.0,40.0
1038-DS-86-2,33.0,44.9,1.3606060606060606,555.035,6,2,93.81,c1cc(Cl)ccc1\C=C\C(=O)c(c(O)c(C)c2OC)c(c2[C@@]34C)OC3=Cc5c([C@@H]4O)c(C)nn5-c6ccccc6,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,555.029,0.802,805.953,252.729,99.733,382.177,71.313,1524.26,1.0,5.7,0.0004224,0.0070724,0.7947458,54.644,16.543,23.212,10.717,6.507,-8.145,-9.811,-6.676,1122.36,-0.676,1377.815,-1.435,7.231,1.504,7.0,1.385,1.0,93.718,0.0,0.0,79.388,7.0,2.0,31.0,0.0,28.0,2.0,40.0
1039-DS-101-1,9.5,330.0,34.73684210526316,550.617,7,2,103.04,c1cccc(OC)c1\C=C\C(=O)c(c(O)c(C)c2OC)c(c2[C@]34C)OC3=Cc5c([C@H]4O)c(C)nn5-c6ccccc6,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,550.61,9.452,828.564,354.587,74.394,399.583,0.0,1576.065,1.0,6.45,0.056684,0.0077846,0.7904753,56.241,16.473,24.462,11.211,6.435,-7.778,-9.515,-6.828,1951.747,-0.652,1019.21,-0.811,8.506,0.844,6.0,1.324,1.0,100.0,0.0,0.0,79.07,8.0,2.0,32.0,0.0,32.0,4.0,41.0
1060-TX-2329,300.0,300.0,1.0,244.189,4,1,155.88,CS(=O)c(n1)nn(c12)c(=O)c([N+]([O-])=O)n[nH]2,4.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,244.184,5.296,422.679,93.86,288.338,28.388,12.092,667.821,1.0,12.0,0.0419919,0.0283904,0.8741678,19.559,6.819,15.156,18.238,-3.149,1.193,-0.232,-3.703,0.727,-2.043,7.613,-6.542,7.941,3.025,3.0,-1.691,1.0,6.031,0.0,0.0,151.221,10.0,0.0,9.0,0.0,9.0,0.0,16.0
1068-As-109,16.5,500.0,30.303030303030305,197.323,1,1,32.26,OCCN[C@H]1C[C@H](CC2)C(C)(C)[C@@]12C,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,197.32,2.417,435.709,365.508,56.715,13.486,0.0,752.043,2.0,3.2,0.0077648,0.0103865,0.9179032,17.651,6.432,9.338,5.12,2.127,-1.405,-1.93,-2.925,2871.271,-0.488,1546.942,-1.557,9.02,-1.347,3.0,-0.399,3.0,100.0,0.0,0.0,30.207,2.0,0.0,0.0,0.0,0.0,0.0,14.0
1072-Ch-4,5.0,500.0,100.0,152.238,1,0,17.07,C1C[C@H](C2)C(C)(C)C(=O)[C@@]12C,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152.236,3.53,363.192,331.512,31.68,0.0,0.0,598.347,0.0,2.0,0.0208206,0.0,0.9455051,17.792,4.418,6.227,2.779,2.005,-2.004,-1.409,-2.414,4959.972,0.327,2793.063,-2.103,10.206,-0.879,0.0,-0.18,3.0,100.0,0.0,0.0,22.534,1.0,0.0,7.0,0.0,7.0,6.0,11.0
1074-Ch-2,103.5,500.0,4.830917874396135,152.238,1,0,17.07,C[C@]12C(C)(C)[C@H](CC1=O)CC2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152.236,3.772,355.506,314.443,41.064,0.0,0.0,590.922,0.0,2.0,0.0240717,0.0,0.9579397,17.495,4.538,6.237,2.824,1.892,-1.989,-1.409,-2.213,4041.054,0.265,2238.2,-2.276,10.316,-0.883,1.0,-0.202,3.0,100.0,0.0,0.0,25.219,1.0,0.0,7.0,0.0,7.0,6.0,11.0
