,Title,"IC50, mmg/ml","CC50-MDCK, mmg/ml",SI,Hydrogen bond acceptors,Hydrogen bond donors,Polar SA,SMILES,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,FOSA,FISA,PISA,WPSA,donorHB,accptHB,dip^2/V,glob,QPlogPo/w,QPlogS,QPlogHERG,QPPCaco,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,RuleOfFive,#ringatoms,#in34,#noncon
0,1007-Ya-213,2.7,500.0,185.1851851851852,2,1,32.59,OCC\N=C(\[C@]12C)C[C@@H](C1(C)C)CC2,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,195.304,1.344,367.822,62.822,14.124,0.0,1.0,2.7,0.0023823,0.9039613,2.477,-1.809,-3.153,2512.823,1339.299,-1.667,9.624,-0.895,2.0,3.0,100.0,0.0,0.0,35.245,0.0,0.0,0.0,0.0
1,1008-Ya-187,9.9,144.0,14.545454545454543,1,0,15.6,CCN(CC)CC\N=C(\[C@@]12C)C[C@H](C1(C)C)CC2,2.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,250.426,2.134,537.273,10.227,13.939,0.0,0.0,3.0,0.004644,0.8500966,3.649,-2.113,-4.75,1976.136,1142.807,-2.569,9.299,-0.921,2.0,3.0,100.0,0.0,0.0,17.981,0.0,0.0,0.0,0.0
2,1009-As-106,8.3,500.0,60.24096385542168,1,0,15.6,CN(C)CC\N=C(\[C@@]12C)C[C@H](C1(C)C)CC2,3.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,222.373,2.219,477.055,14.944,13.939,0.0,0.0,3.0,0.0055899,0.8782871,2.966,-1.386,-4.294,1782.731,1022.407,-2.848,9.343,-0.909,2.0,3.0,100.0,0.0,0.0,18.821,0.0,0.0,0.0,0.0
3,1010-Ya-208,39.4,143.0,3.6294416243654815,2,0,29.54,CN(C)CC(=O)O[C@H]1C[C@H](CC2)C(C)(C)[C@@]12C,1.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,239.357,5.594,427.174,45.125,11.448,0.0,0.0,4.5,0.0364625,0.9027554,1.876,-0.343,-3.886,922.324,501.502,-3.509,9.427,-0.68,3.0,3.0,90.995,0.0,0.0,36.035,0.0,0.0,0.0,0.0
4,1013-Ya-179,26.6,500.0,18.79699248120301,2,0,24.72,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N/CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC/N=C(\[C@@]34C)C[C@H](C3(C)C)CC4,7.0,0.0,0.0,0.0,0.0,30.0,0.0,-2.0,570.987,4.768,935.945,24.464,31.593,0.0,0.0,2.0,0.0114888,0.7684975,11.101,-9.084,-5.429,5806.47,3311.682,1.021,2.861,0.684,3.0,1.0,100.0,0.0,0.0,27.009,2.0,0.0,0.0,0.0
5,1014-Ya-177,160.0,500.0,3.125,2,0,24.72,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N\CC[N+](CC)(CC)CCCCCC[N+](CC)(CC)CC\N=C(\[C@@]34C)C[C@H]([C@@H]3C)CC4,12.0,0.0,0.0,0.0,0.0,31.0,0.0,-2.0,570.987,38.811,973.549,25.649,31.056,0.0,0.0,2.0,0.7492758,0.7477124,11.295,-9.647,-5.762,5658.106,3220.315,1.094,4.055,2.651,3.0,1.0,100.0,0.0,0.0,27.009,2.0,0.0,0.0,0.0
6,1016-As-104,5.1,500.0,98.03921568627452,2,0,24.72,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N\CC[N+](CC)(CC)CCCCCCCC[N+](CC)(CC)CC\N=C(\[C@@]34C)C[C@H](C3(C)C)CC4,12.0,0.0,0.0,0.0,0.0,33.0,0.0,-2.0,613.067,48.697,1055.627,25.651,31.061,0.0,0.0,2.0,1.0929396,0.7286656,12.335,-10.876,-6.071,5657.891,3220.183,1.286,4.842,1.111,3.0,1.0,100.0,0.0,0.0,27.01,2.0,0.0,0.0,0.0
7,1017-As-107,3.3,500.0,151.51515151515153,2,0,24.72,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N/CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC/N=C(\[C@@]34C)C[C@H](C3(C)C)CC4,13.0,0.0,0.0,0.0,0.0,34.0,0.0,-2.0,627.094,14.523,1069.013,25.65,31.425,0.0,0.0,2.0,0.0955667,0.727986,12.579,-10.974,-6.083,5657.949,3220.218,1.383,3.347,1.946,3.0,1.0,100.0,0.0,0.0,27.01,2.0,0.0,0.0,0.0
8,1018-As-105,13.5,73.0,5.407407407407407,2,0,24.72,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N\CC[N+](CC)(CC)CCCCCCCCCC[N+](CC)(CC)CC\N=C(\[C@@]34C)C[C@H](C3(C)C)CC4,13.0,0.0,0.0,0.0,0.0,35.0,0.0,-2.0,641.121,68.06,1120.139,25.65,31.06,0.0,0.0,2.0,2.0233326,0.7138171,13.116,-11.773,-6.311,5658.035,3220.271,1.478,4.965,1.65,3.0,1.0,100.0,0.0,0.0,27.009,2.0,0.0,0.0,0.0
9,1019-YA-214,50.0,41.5,0.83,6,0,77.32,CC1(C)[C@H](CC2)CC(\[C@@]12C)=N/CCOC(=O)CCC(=O)OCC\N=C(\[C@]34C)C[C@@H](C3(C)C)CC4,5.0,0.0,0.0,0.0,0.0,23.0,2.0,-2.0,472.667,9.459,776.736,104.186,28.639,0.0,0.0,6.0,0.0540539,0.7440099,6.485,-6.567,-5.811,1018.366,504.537,-1.131,9.756,-0.734,4.0,1.0,100.0,0.0,0.0,94.09,1.0,0.0,0.0,0.0
